Champion,PickBanRate,WinRate
Varus,0.62,0.462
Kalista,0.521,0.2
Ezreal,0.423,0.647
Lucian,0.423,0.385
Kai'Sa,0.408,0.545
Jhin,0.282,0.6
Miss Fortune,0.268,0.545
Senna,0.254,0.25
Xayah,0.239,0.455
Smolder,0.07,0.33299999999999996
Draven,0.099,0.0
Tristana,0.099,0.33299999999999996
Zeri,0.113,0.667
Ashe,0.183,0.2
Corki,0.16899999999999998,0.5
Ziggs,0.055999999999999994,0.5
Caitlyn,0.055999999999999994,0.5
Jinx,0.042,0.5
Sivir,0.027999999999999997,0.5
Mel,0.013999999999999999,0.0
Aphelios,0.013999999999999999,0.0
