Champion,PickBanRate,WinRate
Yone,0.563,0.375
Taliyah,0.5489999999999999,0.75
Annie,0.39399999999999996,0.556
Akali,0.366,0.5
Ahri,0.324,0.5329999999999999
Azir,0.324,0.583
Ryze,0.31,0.41200000000000003
Sylas,0.29600000000000004,0.583
Galio,0.29600000000000004,0.625
Aurora,0.239,0.5379999999999999
Orianna,0.239,0.429
Corki,0.16899999999999998,0.0
Viktor,0.155,0.28600000000000003
Tristana,0.099,0.33299999999999996
Viego,0.099,0.0
LeBlanc,0.055999999999999994,0.5
Cassiopeia,0.042,0.667
Yasuo,0.042,0.0
Hwei,0.027999999999999997,1.0
Kassadin,0.027999999999999997,0.0
Syndra,0.013999999999999999,-1.0
