Champion,PickBanRate,WinRate
Gwen,66.2,66.7
Yorick,39.4,68.8
Rumble,38.0,47.1
Sion,33.8,44.4
Jayce,29.6,54.5
Galio,29.6,100
Aurora,23.9,0
Ornn,23.9,36.4
Ambessa,21.1,45.5
Renekton,18.3,57.1
Nidalee,18.3,40
Jax,16.9,33.3
K'Sante,14.1,62.5
Aatrox,7.0,80
Shen,7.0,0
Cho'Gath,5.6,50
Gragas,5.6,33.3
Gnar,4.2,0
Camille,2.8,50
Fiora,1.4,0
Udyr,1.4,0
