Champion,PickBanRate,WinRate
Varus,62.0,46.2
Kalista,52.1,20
Ezreal,42.3,64.7
Lucian,42.3,38.5
Kai'Sa,40.8,54.5
Jhin,28.2,60
Miss Fortune,26.8,54.5
Senna,25.4,25
Xayah,23.9,45.5
Smolder,7.0,33.3
Draven,9.9,0
Tristana,9.9,33.3
Zeri,11.3,66.7
Ashe,18.3,20
Corki,16.9,50
Ziggs,5.6,50
Caitlyn,5.6,50
Jinx,4.2,50
Sivir,2.8,50
Mel,1.4,0
Aphelios,1.4,0
