Champion,PickBanRate,WinRate
Vi,57.7,27.3
Poppy,42.3,69.2
Xin Zhao,39.4,46.7
Trundle,35.2,50
Wukong,32.4,71.4
Pantheon,32.4,35.3
Naafri,29.6,33.3
Skarner,23.9,63.6
Sejuani,22.5,54.5
Lillia,16.9,50
Jax,16.9,100
Jarvan IV,11.3,50
Lee Sin,9.9,40
Viego,9.9,50
Zed,5.6,100
Nocturne,5.6,66.7
Zyra,5.6,50
Kindred,5.6,0
Maokai,4.2,33.3
Diana,2.8,0
Volibear,2.8,100
