Champion,Game,WinRate
Rakan,48,0.542
Rell,41,0.61
Nautilus,40,0.6
Braum,32,0.625
Renata Glasc,28,0.607
Alistar,23,0.435
Leona,9,0.33299999999999996
Neeko,6,0.667
Blitzcrank,5,0.6
Tahm Kench,4,0.0
Lulu,4,0.25
Thresh,4,0.5
Milio,3,0.667
Karma,3,0.0
Nami,3,0.667
Maokai,2,0.5
Poppy,2,0.5
Annie,2,0.0
Yuumi,2,0.5
Ashe,2,1.0
Bard,2,1.0
Zilean,2,0.0
Pyke,1,0.0
Senna,1,0.0
Gragas,1,0.0
