Champion,PickBanRate,WinRate
Nami,0.1843,0.49689999999999995
Nautilus,0.2281,0.4989
Rell,0.2086,0.5259
Lulu,0.2234,0.5181
Braum,0.24330000000000002,0.5176
Janna,0.16599999999999998,0.5129
Rakan,0.0984,0.5111
Alistar,0.13,0.5047999999999999
Thresh,0.1003,0.5053
Karma,0.10869999999999999,0.5067
Pyke,0.4708,0.5038
Leona,0.097,0.49439999999999995
Bard,0.10980000000000001,0.5085999999999999
Milio,0.0827,0.4927
Senna,0.3279,0.48369999999999996
Soraka,0.0503,0.5094
Neeko,0.0675,0.5065
Sona,0.0441,0.5253
Blitzcrank,0.094,0.5068
Yuumi,0.0688,0.4448
Poppy,0.1371,0.5294
Elise,0.1423,0.5244
Zilean,0.0471,0.5045000000000001
Pantheon,0.1616,0.501
Fiddlesticks,0.0901,0.5144
Lux,0.0229,0.501
Taric,0.0231,0.5459
Seraphine,0.0195,0.49479999999999996
Vel'Koz,0.0216,0.4888
Mel,0.21779999999999997,0.4435
Renata Glasc,0.019700000000000002,0.516
Maokai,0.015799999999999998,0.5102
Shaco,0.1626,0.48090000000000005
Tahm Kench,0.012499999999999999,0.4736
Zyra,0.0183,0.45799999999999996
Zoe,0.07629999999999999,0.44049999999999995
Morgana,0.016800000000000002,0.5185
Sylas,0.0886,0.45289999999999997
Shen,0.1354,0.4514
LeBlanc,0.15810000000000002,0.5114
Galio,0.029300000000000003,0.4893
Nidalee,0.026499999999999996,0.523
Xerath,0.0101,0.4685
Amumu,0.007300000000000001,0.5146000000000001
