Champion,WinRate,PickRate,BanRate
Viego,49.75%,14.29%,11.88%
Talon,51.73%,7.7%,40.86%
Pantheon,50.52%,9.23%,14.09%
Jarvan IV,52.67%,8.85%,4.28%
Naafiri,48.48%,7.33%,27.54%
Diana,50.08%,7.73%,4.69%
Xin Zhao,49.75%,7.44%,4.91%
Zed,46.99%,5.9%,20.87%
Ekko,50.35%,6.27%,6.5%
Shaco,51.62%,5.7%,17.59%
Kha'Zix,49.17%,6.25%,3.22%
Hecarim,50.48%,5.86%,9.26%
Lee Sin,49.94%,5.9%,1.01%
Rengar,52.3%,5.22%,19.84%
Volibear,50.71%,5.47%,2.81%
Nocturne,51.39%,4.82%,4.68%
Dr. Mundo,50.61%,3.91%,14.17%
Nidalee,51.3%,4.52%,2.65%
Kayn,49.07%,4.41%,2.76%
Vi,48%,4.34%,3.3%
Elise,50.17%,3.9%,11.15%
Lillia,49.87%,4.03%,3.14%
Ivern,53.68%,3.97%,3.05%
Wukong,48.28%,3.85%,1.48%
Udyr,51.95%,3.68%,4.79%
Kindred,50.94%,3.57%,4.26%
Nunu & Willump,51.33%,3.49%,1.13%
Bel'Veth,53.13%,3.26%,12.06%
Karthus,48.1%,2.91%,3.26%
Zac,48.94%,2.77%,1.95%
Fiddlesticks,48.18%,2.5%,6.77%
Master Yi,50.64%,2.55%,3.02%
Graves,48.14%,2.33%,0.47%
Evelynn,49.43%,2.29%,3.31%
Gwen,49.47%,1.84%,16.64%
Trundle,48.91%,1.99%,0.48%
Poppy,50.32%,1.34%,9.54%
Taliyah,49.08%,1.41%,2.81%
Sejuani,44.12%,1.42%,0.06%
Briar,48.97%,1.37%,0.69%
Qiyana,53.73%,1.31%,1.61%
Warwick,48.15%,1.29%,1.59%
Skarner,52.4%,1.22%,0.88%
Rek'Sai,50.87%,1.12%,0.23%
Zyra,47.95%,1.06%,0.76%
Shyvana,47.37%,1.07%,0.06%
Amumu,46.32%,0.8%,0.23%
Gragas,49.3%,0.77%,0.87%
Olaf,48.49%,0.72%,2.18%
Brand,50.2%,0.53%,0.33%
