Champion,PickBanRate,WinRate
Gwen,69,25
Rumble,58.6,57.1
Jayce,58.6,0
Ambessa,34.5,71.4
Jax,34.5,100
Sion,24.1,42.9
K'Sante,20.7,20
Renekton,20.7,20
Yorick,20.7,50
Gnar,20.7,25
Aatrox,17.2,50
Olaf,17.2,66.7
Galio,17.2,100
Camille,13.8,100
Ornn,3.4,100
Cho'Gath,3.4,0
Nidalee,3.4,0
