Champion,PickBanRate,WinRate
Varus,62.1,28.6
Lucian,62.1,60
Kalistar,51.7,100
Ezreal,41.4,42.9
Miss Fortune,34.5,60
Senna,31,50
Ashe,31,0
Jhin,20.7,50
Tristana,17.2,0
Kai'sa,17.2,33.3
Xayah,17.2,100
Caitlyn,10.3,100
Smolder,10.3,100
Yasuo,6.9,100
Zeri,6.9,50
Corki,3.4,0
Jinx,3.4,0
