Champion,PickBanRate,WinRate
Sejuani,0.517,0.75
Vi,0.483,0.28600000000000003
Xin Zhao,0.379,0.625
Naafiri,0.379,0.25
Poppy,0.345,0.2
Wukong,0.31,0.5
Pantheon,0.276,0.0
Skarner,0.24100000000000002,0.4
Nocturne,0.207,0.75
Trundle,0.207,0.25
Lillia,0.207,1.0
Maokai,0.172,0.667
Viego,0.10300000000000001,0.0
Lee Sin,0.10300000000000001,1.0
Ivern,0.033,-1.0
Jarvan IV,0.033,-1.0
