Champion,Game,Win rate
Vi,32,62.5%
Maokai,29,82.8%
Jarvan IV,17,47.1%
Volibear,16,87.5%
Wukong,16,50%
Viego,15,66.7%
Xin Zhao,14,35.7%
Sejuani,13,38.5%
Zyra,12,83.3%
Trundle,10,50%
Brand,10,60%
Pantheon,8,62.5%
Nunu,8,62.5%
Taliyah,8,75%
Dr. Mundo,5,40%
Ivern,4,50%
Naafiri,4,25%
Poppy,4,100%
Rell,3,100%
Gragas,3,33.3%
Skarner,2,50%
Nocturne,1,0%
Lillia,1,0%
Elise,1,0%
