Champion,Game,Win rate
Rakan,48,54.2%
Rell,41,61%
Nautilus,40,60%
Braum,32,62.5%
Renata Glasc,28,60.7%
Alistar,23,43.5%
Leona,9,33.3%
Neeko,6,66.7%
Blitzcrank,5,60%
Tahm Kench,4,0%
Lulu,4,25%
Thresh,4,50%
Milio,3,66.7%
Karma,3,0%
Nami,3,66.7%
Maokai,2,50%
Poppy,2,50%
Annie,2,0%
Yuumi,2,50%
Ashe,2,100%
Bard,2,100%
Zilean,2,0%
Pyke,1,0%
Senna,1,0%
Gragas,1,0%
