Champion,PickBanRate,WinRate
Ezreal,50,42.9
Kalista,56.7,50
Varus,36.7,75
Senna,36.7,62.5
Lucian,36.7,50
Jhin,26.7,0
Corki,26.7,50
Kai'Sa,23.3,60
Sivir,23.3,100
Ziggs,23.3,100
Smolder,20,0
Tristana,13.3,0
Xayah,10,0
Miss Fortune,10,NA
Caitlyn,10,100
Aphelios,6.7,50
Zeri,6.7,0
Kog'Maw,3.3,0
Draven,3.3,NA
Jinx,3.3,NA
