Champion,PickBanRate,WinRate
Vi,90.0,100
Pantheon,60.0,20
Naafiri,40.0,40
Trundle,36.7,40
Poppy,36.7,100
Sejuani,30.0,66.7
Maokai,23.3,66.7
Xin Zhao,23.3,57.1
Skarner,20.0,60
Wukong,16.7,75
Nocturne,16.7,50
Jarvan IV,13.3,50
Dr. Mundo,10.0,100
Viego,10.0,0
Lee Sin,6.7,100
Lillia,3.3,0
Kha'Zix,3.3,100
Ivern,3.3,NA
Kindred,3.3,NA
