Champion,WinRate,PickRate,BanRate
Nami,50.57,14.77,2.01
Nautilus,51.23,12.11,8.85
Karma,48.37,9.33,4.36
Alistar,51.65,9.19,3.19
Braum,50.28,8.7,12.42
Thresh,51.9,8.96,2.47
Lulu,53.08,8.35,9.4
Janna,49.26,7.92,3.79
Milio,51.05,7.94,2.21
Rell,51.48,7.73,1.95
Bard,48.66,7.64,3.73
Pyke,54.8,5.93,36.05
Sona,52.27,6.94,1.6
Leona,50.91,6.13,2.07
Rakan,52.26,6.16,0.17
Senna,48.22,3.65,29.26
Soraka,48.9,5.62,0.9
Neeko,53.53,4.82,5.87
Yuumi,47.2,4.86,4.51
Blitzcrank,53.24,4.01,8.04
Zilean,49.81,3.26,2.64
Poppy,50.75,2.9,8.39
Pantheon,50.12,2.54,12.64
Seraphine,50.11,2.74,0.38
Elise,54.59,2.36,4.44
Zyra,46.93,2.02,2.22
Renata Glasc,51.81,2.05,0.12
Lux,47.17,1.97,1.27
Maokai,47.81,1.84,0.08
Morgana,50.86,1.8,1.25
Taric,44.94,1.65,0.11
Swain,49.43,1.62,0.25
Vel'Koz,53.88,1.6,0.1
Tahm Kench,45.65,1.42,0.17
Amumu,52.75,1.35,0.23
Fiddlesticks,53.93,1.18,6.98
Mel,45.91,0.98,17.5
Shaco,45.93,1.06,13.02
Xerath,48.37,1.14,0.9
Shen,43.42,0.94,5.04
Zoe,45.52,0.9,6.43
Trundle,49.57,0.72,0.33
Gragas,56.07,0.66,0.97
Hwei,42.86,0.61,2.1
Teemo,55.06,0.55,1.96
Galio,53.01,0.51,4.45
Camille,55.56,0.5,0.99
