Champion,WinRate,PickRate,BanRate
Ahri,48.26,10.91,3.86
Sylas,47.86,8.13,9.52
Yasuo,48.73,6.1,23.13
Zed,48.87,5.8,27
Akali,54.64,6.7,12.47
Mel,49.94,5.29,25.19
Viktor,48.66,6.27,2.86
Syndra,48.86,6.02,7.12
Vladimir,51.68,5.55,9.32
Galio,52.56,5.7,8.66
Yone,47.36,5.41,3.41
Taliyah,51.52,5.52,2.44
Orianna,51.07,5.24,1.18
Ryze,46.7,5.09,2.43
Hwei,48.9,4.51,3.41
Ekko,52.81,4.1,10.36
Azir,48.61,4.47,3.43
LeBlanc,52.37,4.19,12.47
Zoe,52.06,4.07,9.19
Twisted Fate,51.33,3.97,0.72
Katarina,52.16,3.89,3.48
Kassadin,50.09,3.45,2.15
Diana,50.61,3.06,3.81
Lux,46.05,3.15,1.31
Aurora,50.94,2.98,4.03
Anivia,49.67,2.87,1.45
Akshan,53.7,2.69,5.86
Annie,56.57,2.65,0.75
Veigar,47.49,2.61,0.22
Qiyana,47.3,2.42,0.97
Vex,54.12,2.41,1.65
Xerath,47.78,2.38,1.2
Jayce,54.6,2.16,8.96
Malzahar,47.63,2.36,1.01
Lissandra,50.54,2.31,0.82
Aurelion Sol,56.16,2.17,0.39
Corki,47.64,1.84,1.79
Kayle,52.56,1.82,1.45
Talon,55.1,1.52,12.44
Fizz,48.9,1.69,0.75
Smolder,50.65,1.44,4.36
Tristana,53.5,1.24,9.28
Neeko,50.96,1.29,4.55
Pantheon,57.38,1.14,10.38
Kennen,52.36,1.32,1
Swain,51.18,1.31,0.23
Ambessa,48.88,1.11,9.7
Irelia,50.27,1.16,5.15
Gragas,51.76,1.06,1.1
Naafiri,45.52,0.83,13.52
Riven,46.88,0.8,9.73
Tryndamere,43.41,0.8,2.45
Cassiopeia,57.6,0.78,0.93
Malphite,51.3,0.72,3.46
Cho'Gath,45.13,0.7,0.37
