Champion,PickBanRate,WinRate
Nami,0.1678,0.5057
Nautilus,0.2096,0.5123
Karma,0.1369,0.48369999999999996
Alistar,0.1238,0.5165
Braum,0.2112,0.5028
Thresh,0.11430000000000001,0.519
Lulu,0.1775,0.5307999999999999
Janna,0.1171,0.4926
Milio,0.10149999999999999,0.5105
Rell,0.09680000000000001,0.5147999999999999
Bard,0.1137,0.4866
Pyke,0.4198,0.5479999999999999
Sona,0.0854,0.5227
Leona,0.082,0.5091
Rakan,0.0633,0.5226
Senna,0.3291,0.48219999999999996
Soraka,0.06520000000000001,0.489
Neeko,0.1069,0.5353
Yuumi,0.0937,0.47200000000000003
Blitzcrank,0.12049999999999998,0.5324
Zilean,0.059,0.49810000000000004
Poppy,0.1129,0.5075
Pantheon,0.15180000000000002,0.5012
Seraphine,0.031200000000000002,0.5011
Elise,0.068,0.5459
Zyra,0.0424,0.4693
Renata Glasc,0.021699999999999997,0.5181
Lux,0.0324,0.4717
Maokai,0.0192,0.4781
Morgana,0.030500000000000003,0.5085999999999999
Taric,0.0176,0.44939999999999997
Swain,0.0187,0.4943
Vel'Koz,0.017,0.5388000000000001
Tahm Kench,0.015899999999999997,0.45649999999999996
Amumu,0.0158,0.5275
Fiddlesticks,0.0816,0.5393
Mel,0.1848,0.45909999999999995
Shaco,0.14079999999999998,0.4593
Xerath,0.0204,0.48369999999999996
Shen,0.0598,0.43420000000000003
Zoe,0.0733,0.45520000000000005
Trundle,0.010499999999999999,0.49570000000000003
Gragas,0.016300000000000002,0.5607
Hwei,0.0271,0.4286
Teemo,0.0251,0.5506
Galio,0.049600000000000005,0.5301
Camille,0.0149,0.5556
