Champion,PickBanRate,WinRate
Xayah,56,60
Kalista,50,75
Senna,44,100
Varus,39,80
Lucian,33,50
Ezreal,22,0
Kai'Sa,22,100
Jhin,22,25
Caitlyn,17,0
Miss Fortune,11,0
Corki,11,0
Ziggs,6,100
Jinx,6,0
Smolder,6,0
