Champion,WinRate,PickRate,BanRate
Viego,49.37,24.58,13.71
Lee Sin,50.08,18.04,20.27
Pantheon,50.58,15.18,30.2
Xin Zhao,50.79,13.06,8.74
Ekko,50.72,9.26,17.52
Zed,44.66,7.46,27.98
Vi,47.37,8.33,4.27
Talon,48.46,5.99,12.91
Nidalee,48.91,5.53,12.14
Hecarim,48.17,5.34,4
Naafiri,48.76,4.84,14.77
Kindred,52.79,4.39,2.2
Karthus,52.51,3.54,25.03
Zac,49.76,4.05,2.06
Lillia,51.69,3.94,2.68
Diana,46.58,3.61,1.91
Graves,50.33,3.59,1.85
Shaco,53.9,3.13,15.04
Kha'Zix,49.05,3.5,0.88
Elise,50.1,2.12,33.19
Nocturne,49.43,3.01,1.37
Master Yi,50.88,2.91,1.31
Kayn,50.33,2.89,0.34
Gwen,49.43,2.62,7.07
Zyra,54.29,2.63,2.85
Taliyah,54.48,2.34,1.79
Bel'Veth,51.2,2.33,4.5
Wukong,49.63,2.33,0.26
Jarvan IV,52.11,2.34,0.08
Ivern,52.12,2.18,0.84
Nunu & Willump,50.9,2.15,0.74
Trundle,50.8,2,0.29
Evelynn,51.29,1.83,1.29
Fiddlesticks,52.61,1.73,3.14
Rek'Sai,52.66,1.69,0.6
Poppy,48.74,1.36,14.28
Warwick,48.51,1.22,4.6
Sejuani,46.58,1.22,0.06
Qiyana,53.45,1.15,1.12
Skarner,49.53,1.14,0.2
Rengar,54.05,1.11,1.29
Briar,47.91,1.08,0.12
Olaf,50.6,0.89,1.22
Gragas,49.86,0.75,0.24
Volibear,50.97,0.66,0.38
Udyr,50.17,0.62,0.2
