Champion,WinRate,PickRate,BanRate
Sylas,50.18,13.67,13.1
Ahri,49.34,10.76,2.14
Orianna,51.13,9.94,6.71
Viktor,47.98,8.43,4.4
Galio,50.78,7.87,5.48
Zed,50.49,5.86,27.87
Twisted Fate,50.64,7.38,1.47
Zoe,52.9,5.38,35.43
LeBlanc,51.49,5.01,38.24
Azir,48.03,6.41,1.74
Taliyah,51.76,6.22,1.83
Akali,49.11,6,6.31
Yone,47.23,5.59,2.57
Yasuo,50.08,5,11.05
Hwei,49.96,5.38,2.12
Ryze,49.33,4.38,1.58
Ekko,50.36,3.48,17.35
Katarina,51.76,4.01,2.79
Talon,52.4,3.42,12.78
Diana,50.39,3.8,1.93
Aurora,50.44,3.57,2.29
Anivia,50.34,3.45,1.82
Irelia,50.52,2.61,16.47
Corki,47.62,2.92,0.43
Syndra,51.31,2.96,0.6
Lissandra,49.85,2.75,0.41
Jayce,52.3,1.51,37.08
Qiyana,52.52,2.51,1.23
Xerath,48.76,2.38,0.44
Vladimir,49.32,2.31,2.35
Vex,51.57,2.22,2.23
Annie,51.22,2.16,1.99
Mel,47.79,2.04,3.1
Akshan,48.63,2,1.34
Aurelion Sol,52.21,1.77,0.23
Malzahar,50.27,1.59,0.2
Smolder,45.71,1.25,8.72
Kassadin,51.47,1.44,0.24
Fizz,49.85,1.4,0.32
Neeko,51.02,1.24,9.08
Kennen,52.16,1.32,2.16
Lux,51.99,1.32,0.24
Cassiopeia,52.45,1.29,1.78
Rumble,45.66,0.83,3.31
Renekton,51.64,0.77,3.88
Gragas,54.44,0.73,0.24
Swain,51.14,0.74,0.14
Tristana,45.51,0.68,4.95
Tryndamere,48.99,0.73,1.01
Veigar,45.37,0.71,0.03
Sion,47.08,0.65,0.95
Ambessa,48.06,0.6,6.06
Cho'Gath,51.16,0.63,0.11
Singed,55.86,0.61,0.55
Nunu & Willump,54.55,0.56,0.63
Vel'Koz,46.48,0.54,0.16
