Champion,WinRate,PickRate,BanRate
Braum,51.5,16.51,21.13
Nautilus,49.04,15.95,6.37
Alistar,51.01,14.98,3.99
Rell,52.8,11.6,3.52
Pyke,50.73,7.53,44.53
Thresh,51.11,9.4,2.92
Lulu,49.64,9.06,5.86
Rakan,50.25,9.34,1.06
Leona,52.17,9.23,2.06
Elise,52.26,6.17,34.05
Karma,48.35,7.74,6.07
Poppy,52.85,5.89,15.34
Senna,49.47,2.22,47.44
Blitzcrank,48.9,5.72,7.64
Neeko,52.1,5.46,10.11
Nami,46.58,4.47,0.31
Bard,49.9,4.26,0.47
Pantheon,49.56,2.65,29.56
Yuumi,41.38,3.59,6.26
Maokai,49.82,3.5,0.16
Janna,48.71,2.3,0.34
Milio,51.65,2.26,0.22
Zilean,50.15,2.2,0.25
Seraphine,49.73,2,0.09
Zoe,54.89,1.28,32.17
Soraka,49.26,1.87,0.12
Lux,48.22,1.86,0.23
Taric,52.19,1.79,0.1
Swain,51.02,1.77,0.16
Shaco,47.52,1.41,14.81
Sylas,49.75,1.28,12.03
Shen,47.9,1.31,4.89
Tahm Kench,48.91,1.36,0.04
Morgana,49.59,1.29,0.64
Xerath,43.63,1.25,0.4
Fiddlesticks,51.92,1.22,3.13
Zyra,47.96,1.2,2.6
Mel,44.06,1.18,2.91
Nidalee,47.45,0.96,10.65
Gragas,48.82,0.99,0.24
Galio,51.82,0.88,4.71
Renata Glasc,48.99,0.95,0.13
Vel'Koz,49.14,0.87,0.18
LeBlanc,50.9,0.59,28.9
Camille,49.45,0.78,0.17
Sona,49.59,0.77,0.01
Zac,47.64,0.63,1.68
Wukong,46.59,0.53,0.21
Hwei,56.02,0.51,1.64
