Champion,WinRate,PickRate,BanRate
Senna,51.66,28.44,48.98
Lucian,50.33,26.02,46.29
Ezreal,47.39,17.01,7.6
Kai'Sa,49.3,13.87,0.41
Jhin,48.14,13.63,0.29
Varus,49.87,12.63,7.54
Smolder,48.64,12.06,9.37
Miss Fortune,51.4,9.97,2.5
Tristana,52.08,8.66,5.95
Jinx,50.34,5.62,0.27
Sivir,53.41,5.29,0.6
Aphelios,46.74,5.08,0.13
Ashe,50.57,4.83,1.41
Xayah,50.79,4.56,0.72
Corki,49.58,4.27,0.43
Caitlyn,49.89,3.82,0.67
Draven,51.31,3.21,16.16
Samira,49.58,2.49,0.39
Zeri,52.25,2.49,0.08
Twitch,50.31,1.68,0.2
Nilah,53.63,1.4,0.26
Kalista,47.07,1.19,0.43
Kog'Maw,49.34,1.12,0.04
Cassiopeia,49.77,0.94,1.7
Ziggs,47.62,0.93,0.07
Mel,49.37,0.84,2.72
Aurelion Sol,52.34,0.81,0.21
Vayne,50.66,0.64,0.24
Hwei,53.82,0.58,1.66
Swain,50.95,0.55,0.13
Vel'Koz,54.23,0.55,0.17
