Champion,PickBanRate,WinRate
Viego,0.3829,0.49369999999999997
Lee Sin,0.3831,0.5008
Pantheon,0.4538,0.5058
Xin Zhao,0.218,0.5079
Ekko,0.2678,0.5072
Zed,0.3544,0.44659999999999994
Vi,0.126,0.47369999999999995
Talon,0.189,0.48460000000000003
Nidalee,0.17670000000000002,0.4891
Hecarim,0.0934,0.4817
Naafiri,0.1961,0.4876
Kindred,0.0659,0.5279
Karthus,0.2857,0.5251
Zac,0.0611,0.4976
Lillia,0.0662,0.5169
Diana,0.0552,0.4658
Graves,0.054400000000000004,0.5033
Shaco,0.18169999999999997,0.539
Kha'Zix,0.043800000000000006,0.4905
Elise,0.35309999999999997,0.501
Nocturne,0.0438,0.4943
Master Yi,0.0422,0.5088
Kayn,0.0323,0.5033
Gwen,0.0969,0.4943
Zyra,0.0548,0.5428999999999999
Taliyah,0.041299999999999996,0.5448
Bel'Veth,0.0683,0.512
Wukong,0.0259,0.4963
Jarvan IV,0.024199999999999996,0.5211
Ivern,0.030199999999999998,0.5212
Nunu & Willump,0.0289,0.509
Trundle,0.0229,0.508
Evelynn,0.0312,0.5129
Fiddlesticks,0.04870000000000001,0.5261
Rek'Sai,0.022899999999999997,0.5266
Poppy,0.15639999999999998,0.4874
Warwick,0.0582,0.4851
Sejuani,0.012799999999999999,0.4658
Qiyana,0.0227,0.5345
Skarner,0.013399999999999999,0.4953
Rengar,0.024,0.5405
Briar,0.012,0.47909999999999997
Olaf,0.0211,0.506
Gragas,0.009899999999999999,0.4986
Volibear,0.0104,0.5097
Udyr,0.008199999999999999,0.5017
