Champion,PickBanRate,WinRate
Braum,0.3764,0.515
Nautilus,0.2232,0.4904
Alistar,0.18970000000000004,0.5101
Rell,0.1512,0.528
Pyke,0.5206000000000001,0.5073
Thresh,0.1232,0.5111
Lulu,0.1492,0.4964
Rakan,0.104,0.5025
Leona,0.1129,0.5217
Elise,0.40219999999999995,0.5226
Karma,0.1381,0.48350000000000004
Poppy,0.2123,0.5285
Senna,0.4966,0.4947
Blitzcrank,0.1336,0.489
Neeko,0.1557,0.521
Nami,0.047799999999999995,0.4658
Bard,0.047299999999999995,0.499
Pantheon,0.3221,0.49560000000000004
Yuumi,0.0985,0.4138
Maokai,0.0366,0.4982
Janna,0.0264,0.48710000000000003
Milio,0.0248,0.5165
Zilean,0.0245,0.5015
Seraphine,0.020900000000000002,0.49729999999999996
Zoe,0.3345,0.5489
Soraka,0.0199,0.4926
Lux,0.020900000000000002,0.48219999999999996
Taric,0.0189,0.5219
Swain,0.0193,0.5102
Shaco,0.1622,0.4752
Sylas,0.1331,0.4975
Shen,0.062,0.479
Tahm Kench,0.014,0.4891
Morgana,0.0193,0.4959
Xerath,0.0165,0.4363
Fiddlesticks,0.0435,0.5192
Zyra,0.038000000000000006,0.4796
Mel,0.0409,0.44060000000000005
Nidalee,0.1161,0.47450000000000003
Gragas,0.012299999999999998,0.4882
Galio,0.055900000000000005,0.5182
Renata Glasc,0.0108,0.4899
Vel'Koz,0.010499999999999999,0.4914
LeBlanc,0.2949,0.509
Camille,0.009500000000000001,0.49450000000000005
Sona,0.0078000000000000005,0.4959
Zac,0.0231,0.4764
Wukong,0.0074,0.46590000000000004
Hwei,0.0215,0.5602
