Champion,PickBanRate,WinRate
Rumble,44,75
Sion,39,40
Renekton,39,100
Jayce,33,0
Gwen,28,50
Yorick,28,33
Ornn,28,50
Gnar,22,0
Camille,22,67
Jax,11,0
Atrox,11,100
Ambessa,11,50
K'Sante,11,100
Cho'Gath,6,100
Kennen,6,0
