Champion,PickBanRate,WinRate
Vi,94,0
Pantheon,67,50
Trundle,50,50
Nidalee,50,0
Poppy,50,100
Xin Zhao,39,40
Nocturne,33,100
Wukong,33,75
Sejuani,22,0
Jarvan IV,17,67
Skarner,17,100
Lee Sin,11,100
Maokai,6,0
Kindred,6,0
Lillia,6,0
